benchmark,jobs,infra,initial_divides,online_divides,initial_timeout,timeout_factor,timeout,future_mode,trial,painless_mode,duration,result,family,start_time,end_time,hostname
Problem14_label55_true_unreach_call.c.cnf.bz2,8,cnc_lingeling,3,2,5.0,1.5,3600,False,0,default,3600.1028892993927,TIMEOUT,easy,1598888128.3422658,1598891735.1445937,benchexec
rbcl_xits_09_UNK,8,painless,0,2,5.0,1.5,3600,False,0,dnc,3600.0134184360504,TIMEOUT,cnc,1598873829.9813857,1598877429.999912,benchexec
gto_p60c231.cnf.bz2,8,painless,0,2,5.0,1.5,3600,False,0,dnc,337.04539155960083,UNSAT,easy,1598886643.089958,1598886980.1457283,benchexec
sortnet_8_ipc5_h19,8,cnc_lingeling,3,2,5.0,1.5,3600,False,0,default,3600.1026933193207,TIMEOUT,cnc,1598877800.743767,1598881400.850944,benchexec
dist9.c.cnf.bz2,8,cnc_lingeling,3,2,5.0,1.5,3600,False,0,default,145.09456777572632,UNSAT,easy,1598885932.870684,1598886078.0293293,benchexec
gus_md5_14,1,cadical,0,2,5.0,1.5,3600,False,0,default,3600.0039348602295,TIMEOUT,cnc,1598868253.6401677,1598871853.6493583,benchexec
9dlx_vliw_at_b_iq9,8,painless,0,2,5.0,1.5,3600,False,0,dnc,3600.7748563289642,TIMEOUT,cnc,1598851041.9220712,1598854642.7022943,benchexec
AProVE07_25,8,painless,0,2,5.0,1.5,3600,False,0,dnc,3600.0091795921326,TIMEOUT,cnc,1598851923.578454,1598855523.5919936,benchexec
Problem14_label19_true_unreach_call.c.cnf.bz2,8,cnc_lingeling,3,2,5.0,1.5,3600,False,0,default,3600.1033198833466,TIMEOUT,easy,1598887831.9991925,1598891436.704251,benchexec
sortnet_8_ipc5_h19,8,painless,0,2,5.0,1.5,3600,False,0,default,2068.5269050598145,SAT,cnc,1598878517.354379,1598880585.8854594,benchexec
eq.atree.braun.13,8,painless,0,2,5.0,1.5,3600,False,0,dnc,3600.0043308734894,TIMEOUT,cnc,1598859423.4581442,1598863023.4666047,benchexec
rpoc_xits_09_UNS,8,painless,0,2,5.0,1.5,3600,False,0,dnc,3600.0139784812927,TIMEOUT,cnc,1598876135.1321008,1598879735.1505837,benchexec
dist10.c.cnf.bz2,8,cnc_lingeling,3,2,5.0,1.5,3600,False,0,default,174.96910858154297,UNSAT,easy,1598885316.1986907,1598885491.231394,benchexec
Problem14_label20_true_unreach_call.c.cnf.bz2,8,plingeling,3,2,5.0,1.5,3600,False,0,default,19.314117431640625,UNSAT,easy,1598887949.6315997,1598887968.9498785,benchexec
9dlx_vliw_at_b_iq8,8,cnc_lingeling,3,2,5.0,1.5,3600,False,0,default,3600.1035375595093,TIMEOUT,cnc,1598847440.429562,1598851040.5376985,benchexec
total_10_17_u,1,cadical,0,2,5.0,1.5,3600,False,0,default,890.0232620239258,UNSAT,cnc,1598881031.8748107,1598881921.9020336,benchexec
prime_200560490131.cnf.bz2,8,painless,0,2,5.0,1.5,3600,False,0,default,218.15589475631714,UNSAT,easy,1598887671.892636,1598887890.0797753,benchexec
gto_p60c233.cnf.bz2,8,gg_local,3,2,5.0,1.5,3600,False,0,default,25.81907844543457,UNSAT,easy,1598886733.8887243,1598886760.187634,benchexec
gto_p60c231_1.cnf.bz2,8,cnc_lingeling,3,2,5.0,1.5,3600,False,0,default,35.5833785533905,UNSAT,easy,1598886354.0186207,1598886389.6121407,benchexec
gus_md5_14,8,plingeling,3,2,5.0,1.5,3600,False,0,default,3600.0258362293243,TIMEOUT,cnc,1598865000.508069,1598868600.538589,benchexec
9dlx_vliw_at_b_iq8,8,painless,0,2,5.0,1.5,3600,False,0,default,3600.6657903194427,TIMEOUT,cnc,1598847440.4294553,1598851041.100064,benchexec
gto_p60c239.cnf.bz2,8,plingeling,3,2,5.0,1.5,3600,False,0,default,39.376569747924805,UNSAT,easy,1598887016.8201098,1598887056.200724,benchexec
9dlx_vliw_at_b_iq8,8,gg_local,3,2,5.0,1.5,3600,False,0,default,3600.2154400348663,TIMEOUT,cnc,1598847440.4289155,1598851045.825143,benchexec
dated_5_19_u,1,cadical,0,2,5.0,1.5,3600,False,0,default,3152.735748052597,UNSAT,cnc,1598854643.5859993,1598857796.32613,benchexec
eq.atree.braun.13,1,cadical,0,2,5.0,1.5,3600,False,0,default,3600.003954410553,TIMEOUT,cnc,1598859795.5424573,1598863395.551047,benchexec
